z1 = 33 cm = 330 mm
P0 = 2.289 mW 
x[mm],P[mW],err[mW]
0,2.291,0.001
2.82,2.285,0.001
3.33,2.25,0.001
3.61,2.2,0.001
3.93,2.1,0.001
4.13,2,0.001
4.27,1.9,0.001
4.4,1.8,0.001
4.5,1.7,0.001
4.6,1.6,0.001
4.68,1.5,0.001
4.73,1.4,0.001
4.81,1.3,0.001
4.87,1.2,0.001
5.01,1.1,0.001
5.08,1,0.001
5.15,0.9,0.001
5.24,0.8,0.001
5.32,0.7,0.001
5.41,0.6,0.001
5.52,0.5,0.001
5.63,0.4,0.001
5.75,0.3,0.001
5.92,0.2,0.001
6.24,0.1,0.001
6.5,0.05,0.001
6.65,0.03,0.001
6.77,0.02,0.001
6.93,0.01,0.001
7.07,0.005,0.0001
7.18,0.003,0.0001
7.53,0.001,0.0001
8.02,0.00092,0.00001

z1 = 103.9 cm = 1039 mm
P0 = 2.316 mW 
x[mm],P[mW],err[mW]
0,2.316,0.001
4.13,2.310,0.001
4.435,2.3,0.001
5.17,2.2,0.001
5.48,2.1,0.001
5.66,2.0,0.001
5.81,1.9,0.001
5.93,1.8,0.001
6.04,1.7,0.001
6.14,1.597,0.001
6.23,1.5,0.001
6.32,1.4,0.001
6.41,1.3,0.001
6.49,1.2,0.001
6.57,1.1,0.001
6.65,1,0.001
6.73,0.9,0.001
6.84,0.798,0.001
6.92,0.7,0.001
7.01,0.6,0.001
7.11,0.5,0.001
7.23,0.4,0.001
7.395,0.3,0.001
7.59,0.2,0.001
7.91,0.1,0.001
8.17,0.05,0.0001
8.35,0.03,0.0001
8.46,0.02,0.0001
8.63,0.01,0.0001
8.77,0.005,0.0001
9,0.001,0.0001
9.03,0.0015,0.0001
9.5,0.0012,0.00001
