# Temperature   Clicks_1   Clicks_2   Correlations
# 28.01.2024 1560 SPDC measurement 
# Temperature scan between 30 and 30 °C
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel.
# TEST MEASUREMENT# --------------------------------- 
# Input laser power: 90 mW  at 780 nm (262 mA) 
# Power at input: 65 mW  at 780 nm (262 mA) 
# Pump polarization: 'H' (21R) = 82.1 mW)# Periodic polling: 9.12 um
# Initial setup alignment at 41.0 C
# Integration time:  75 s 
# Single photon detector QE: 10% 
# Single photon detector dead time: 5 us 
# Time-delay of [0, 0] ns
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
30.0    40853    27398    7
30.1    41685    27150    4
30.2    41343    26845    5
30.3    41217    27181    5
30.4    40725    26385    11
30.5    41718    26896    7
30.6    41250    27065    5
30.7    42045    26734    4
30.8    42152    26843    7
30.9    42445    27092    12
31.0    43191    27445    7
31.1    43502    27568    8
31.2    43476    27580    11
31.3    43229    27955    10
31.4    43834    28002    9
31.5    42692    28258    12
31.6    43579    28195    10
31.7    43009    28399    10
31.8    43553    28229    12
31.9    43564    28095    9
32.0    43271    28093    16
32.1    43662    28196    5
32.2    43163    28094    12
32.3    43597    27932    11
32.4    41731    27716    3
32.5    41558    27959    5
32.6    41613    26875    3
32.7    42062    27087    3
32.8    42912    26778    4
32.9    44471    27982    6
33.0    46250    28121    10
33.1    48777    28879    16
33.2    50530    30293    13
33.3    52165    31068    11
33.4    53088    32531    28
33.5    55352    34041    41
33.6    56552    34794    31
33.7    57429    35218    38
33.8    60676    35928    34
33.9    63209    37727    34
34.0    67265    38774    22
34.1    72473    40808    34
34.2    78149    46522    25
34.3    87144    49077    38
34.4    93262    52987    52
34.5    101332    57972    52
34.6    107787    62245    79
34.7    113953    66969    99
34.8    118236    70344    97
34.9    123012    72334    124
35.0    127431    76068    138
35.1    134542    80669    136
35.2    142618    84948    121
35.3    154931    89953    125
35.4    171930    95863    118
35.5    191440    104168    100
35.6    211295    114261    113
35.7    240852    127183    146
35.8    266217    142617    190
35.9    292653    158256    209
36.0    317263    176096    317
36.1    342246    191587    343
36.2    368200    209779    433
36.3    394659    226063    508
36.4    429170    246284    526
36.5    475060    267073    509
36.6    533918    290761    519
36.7    613077    323976    511
36.8    720003    368336    538
36.9    846526    426167    579
37.0    993065    497379    715
37.1    1171226    592922    954
37.2    1362557    699720    1340
37.3    1564341    828801    1760
37.4    1761672    953999    2270
37.5    1980735    1115245    3034
37.6    2182155    1271739    3820
37.7    2370348    1421467    4471
37.8    2529739    1573124    5256
37.9    2679255    1716557    5989
38.0    2796338    1845124    6679
38.1    2878408    1941423    7112
38.2    2944372    2037411    7607
38.3    2973605    2102213    7842
38.4    2973888    2146270    7815
38.5    2948739    2162009    7512
38.6    2900573    2156186    7639
38.7    2819155    2125322    7255
38.8    2717847    2074650    6603
38.9    2594814    2002299    6065
39.0    2455566    1912594    5443
39.1    2303364    1808658    4859
39.2    2161391    1705390    4174
39.3    1983559    1572915    3418
39.4    1828648    1450818    2762
39.5    1670747    1328068    2225
39.6    1520798    1209266    1739
39.7    1375937    1085796    1350
39.8    1245066    978036    1048
39.9    1129219    884352    794
40.0    1018126    790802    531
40.1    916438    708470    402
40.2    825182    634335    289
40.3    744623    569487    230
40.4    666470    510333    154
40.5    600643    456723    127
40.6    542229    411768    107
40.7    487954    369753    108
40.8    442051    332701    63
40.9    398626    300588    62
41.0    368274    273548    56
41.1    334812    247426    49
41.2    305183    225195    32
41.3    283256    207220    26
41.4    263527    191663    26
41.5    242810    174767    18
41.6    226594    163330    32
41.7    213415    151645    32
41.8    198598    142639    40
41.9    184483    131664    36
42.0    174382    124201    34
42.1    164366    117924    42
42.2    153465    109949    43
42.3    142643    102628    52
42.4    134513    96739    41
42.5    126636    90066    30
42.6    118223    85558    48
42.7    110078    79864    30
42.8    103000    74231    22
42.9    96173    68944    15
43.0    89958    64703    17
