# 1560 SPDC measurement 
# Temperature scan between 110 and 110 °C
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel.
# TEST MEASUREMENT# --------------------------------- 
# Input laser power: 90 mW  at 780 nm (262 mA) 
# Power at input: 65 mW  at 780 nm (262 mA) 
# Pump polarization: 'H' (21R) = 82.1 mW)# Periodic polling: 9.12 um
# Initial setup alignment at 41.0 C
# Integration time:  75 s 
# Single photon detector QE: 10% 
# Single photon detector dead time: 5 us 
# Time-delay of [0, 0] ns
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [°C]    [/]    [/]    [/] 
110.0    38718    24733    2
110.1    38643    24222    0
110.2    39141    24100    0
110.3    38882    24257    1
110.4    38711    24287    0
110.5    38295    23982    1
110.6    38651    24141    0
110.7    38886    23988    0
110.8    37951    23824    1
110.9    37666    24432    0
111.0    38781    23619    0
111.1    38469    23661    0
111.2    37952    23959    1
111.3    38256    23879    0
111.4    37552    23326    0
111.5    38012    23709    0
111.6    37742    24161    0
111.7    37578    23516    0
111.8    38192    23403    0
111.9    38010    23836    0
112.0    37088    23153    0
112.1    37548    23484    0
112.2    37799    23432    0
112.3    37557    23426    0
112.4    38176    23178    1
112.5    37284    23210    0
112.6    38079    23297    1
112.7    38110    23658    0
112.8    37338    23509    1
112.9    37979    23300    0
113.0    37534    23566    0
113.1    37571    23365    0
113.2    37923    23136    0
113.3    38274    23410    0
113.4    37390    23223    0
113.5    37906    23525    0
113.6    37124    23511    2
113.7    37218    23375    0
113.8    37404    23334    0
113.9    37275    22745    0
114.0    37393    23192    0
114.1    37184    23631    1
114.2    37690    23018    0
114.3    36853    23279    0
114.4    37426    23216    0
114.5    37235    22737    0
114.6    37248    23101    0
114.7    37530    23463    0
114.8    37441    23013    1
114.9    37725    23534    0
115.0    36864    23521    0
115.1    37920    23248    0
115.2    37355    22987    0
115.3    37544    23617    0
115.4    37701    23018    0
115.5    37026    23423    0
115.6    37851    23237    0
115.7    37176    23050    0
115.8    37372    23266    0
115.9    37774    23036    0
116.0    36861    22559    0
116.1    37049    22661    0
116.2    37350    23564    0
116.3    37518    23102    0
116.4    36790    22947    1
116.5    37445    23248    1
116.6    37261    23390    1
116.7    37305    22975    0
116.8    36758    22995    0
116.9    36833    23089    0
117.0    37262    23189    1
117.1    36999    22567    0
117.2    37141    22732    1
117.3    37302    22931    0
117.4    36965    22851    0
117.5    36804    23052    1
117.6    37156    23247    0
117.7    37471    22874    0
117.8    36432    22598    0
117.9    37198    23253    0
118.0    37094    22964    0
118.1    37108    22995    1
118.2    37262    23059    0
118.3    36927    23068    1
118.4    36378    22965    1
118.5    36905    22857    1
118.6    36533    22799    1
118.7    36972    22897    0
118.8    36712    22757    1
118.9    36696    23241    1
119.0    36958    22687    1
119.1    37232    23388    1
119.2    36324    22887    0
119.3    37180    22878    0
119.4    37232    23004    0
119.5    37169    22782    0
119.6    37114    22938    0
119.7    36757    23079    2
119.8    36900    22466    0
119.9    36400    23111    1
120.0    36591    22564    0
120.1    36750    22951    0
120.2    36624    23108    1
120.3    36913    22277    0
120.4    37199    22721    0
120.5    36934    23043    0
120.6    37210    23236    1
120.7    36322    22934    0
120.8    36940    22640    0
120.9    36521    22841    0
121.0    36873    22709    0
121.1    36040    22552    0
121.2    36716    22984    0
121.3    37019    23136    0
121.4    37131    22829    0
121.5    36417    22343    2
121.6    36696    22803    0
121.7    36594    22594    0
121.8    36631    22453    1
121.9    36566    22624    1
122.0    36230    22947    0
122.1    36332    23050    0
122.2    36284    22911    0
122.3    36248    22836    1
122.4    36944    22689    0
122.5    36673    22134    0
122.6    36745    22856    0
122.7    36473    22637    2
122.8    36345    22673    0
122.9    36573    23015    0
123.0    36365    22682    0
123.1    36011    22958    1
123.2    36566    22547    0
123.3    37101    22913    0
123.4    36225    22714    0
123.5    35432    22929    1
123.6    36388    22622    0
123.7    36582    22640    0
123.8    36118    22765    0
123.9    37185    22578    0
124.0    36294    22824    0
124.1    35952    22725    1
124.2    37003    22736    1
124.3    36132    22760    0
124.4    36874    22438    0
124.5    36740    22915    0
124.6    36415    22619    1
124.7    36693    23023    0
124.8    36631    22735    0
124.9    36067    22812    0
125.0    36146    22476    1
125.1    36341    22437    0
125.2    36339    22486    0
125.3    36173    22552    0
125.4    36499    22442    1
125.5    36656    22765    1
125.6    36184    22651    1
125.7    36167    22935    0
125.8    35935    22459    0
125.9    36405    22574    1
126.0    37005    22728    0
126.1    36582    22703    1
126.2    36707    22548    1
126.3    36592    22659    0
126.4    36743    22945    0
126.5    36763    22463    0
126.6    36237    22830    0
126.7    36370    22763    0
126.8    36376    22452    0
126.9    36346    22534    0
127.0    36385    22741    0
127.1    36506    22459    0
127.2    36280    22853    0
127.3    36836    22586    1
127.4    36482    23017    1
127.5    36444    22446    0
127.6    36170    22171    0
127.7    36835    22209    0
127.8    36207    22909    0
127.9    36301    23106    1
128.0    36215    22541    1
128.1    36442    22772    0
128.2    36255    22385    0
128.3    36826    22577    0
128.4    36247    22748    0
128.5    36268    22950    0
128.6    36318    22992    0
128.7    36954    22395    0
128.8    37026    22463    0
128.9    36549    22553    0
129.0    36062    22953    0
129.1    35633    23093    0
129.2    36331    22875    0
129.3    36357    22527    1
129.4    35998    22683    1
129.5    35964    22922    0
129.6    36185    22573    0
129.7    35935    22709    0
129.8    36757    22766    0
129.9    36329    22692    0
130.0    36885    22922    0
130.1    36155    22677    0
130.2    36657    22606    0
130.3    36087    22970    0
130.4    35970    22358    1
130.5    35959    22693    0
130.6    35771    23167    0
130.7    35625    22703    0
130.8    36125    22847    1
130.9    35665    22590    0
131.0    36057    23113    0
131.1    36531    22704    0
131.2    36352    22841    0
131.3    36347    22757    0
131.4    36027    22860    0
131.5    36542    22542    0
131.6    36756    22574    0
131.7    36051    22542    0
131.8    36368    22829    0
131.9    35795    22831    0
132.0    36115    22315    0
132.1    36429    22412    0
132.2    36391    22524    0
132.3    36409    22373    0
132.4    36180    22991    1
132.5    36048    22427    0
132.6    36667    22857    0
132.7    35794    23048    0
132.8    36689    22873    0
132.9    35602    22643    0
133.0    36259    22983    0
133.1    36401    23251    2
133.2    36666    22431    0
133.3    36723    22703    0
133.4    35827    22799    0
133.5    36673    22701    0
133.6    36528    22523    1
133.7    35883    22784    1
133.8    36462    22555    0
133.9    36353    22374    1
134.0    36169    22855    0
134.1    36453    22736    0
134.2    36092    22234    0
134.3    35982    22378    0
134.4    35708    22848    0
134.5    36101    22630    0
134.6    36077    22704    0
134.7    35888    22677    1
134.8    36249    22317    0
134.9    36081    22979    1
135.0    35619    22643    0
135.1    36548    23022    0
135.2    36433    22710    0
135.3    35735    22427    1
135.4    35995    22675    0
135.5    35709    22673    0
135.6    36644    23066    0
135.7    36478    22184    0
135.8    36403    22923    0
135.9    36275    22662    0
136.0    36118    22765    1
136.1    35712    22983    1
136.2    35721    22967    0
136.3    36154    22543    0
136.4    36415    22634    1
136.5    36040    22581    1
136.6    35900    22530    0
136.7    36230    22674    0
136.8    36762    22535    0
136.9    35990    22864    0
137.0    36517    22817    2
137.1    35887    22652    0
137.2    36353    22790    1
137.3    36224    22921    0
137.4    35855    23059    0
137.5    36570    22667    0
137.6    36126    22852    0
137.7    36294    22886    1
137.8    35567    22634    0
137.9    35980    22864    0
138.0    36556    22880    0
138.1    36606    22826    0
138.2    36037    22841    0
138.3    36682    22884    2
138.4    36600    22850    0
138.5    35885    22193    0
138.6    36268    22467    1
138.7    36623    22376    0
138.8    36312    22757    0
138.9    36012    22522    0
139.0    36447    22443    0
139.1    36011    22729    1
139.2    35496    22856    0
139.3    36313    22712    0
139.4    36392    22707    1
139.5    35759    22616    0
139.6    36629    22644    3
139.7    35638    22832    0
139.8    36040    22427    0
139.9    36460    22731    0
140.0    36204    22624    1
140.1    36494    22515    1
140.2    36397    22542    0
140.3    35750    22842    0
140.4    35950    23011    0
140.5    36119    22562    0
140.6    36361    23123    0
140.7    35745    22957    1
140.8    36169    22526    0
140.9    35724    22518    0
141.0    36282    23118    1
141.1    35912    22986    1
141.2    35652    22855    0
141.3    36772    22627    0
141.4    36312    23169    0
141.5    36367    22920    0
141.6    36271    22801    0
141.7    36336    23185    0
141.8    37060    22874    0
141.9    36594    22446    0
142.0    36045    22938    1
142.1    36835    22799    0
142.2    36268    22788    0
142.3    36749    22863    1
142.4    36337    23044    0
142.5    35802    22937    0
142.6    36264    22984    0
142.7    36148    22993    0
142.8    36959    23086    0
142.9    36579    23035    0
143.0    35870    23066    0
143.1    37038    22853    0
143.2    36774    23006    1
143.3    36746    22518    0
143.4    36054    22656    0
143.5    37367    23333    1
143.6    36051    22692    0
143.7    36947    23025    2
143.8    36812    22783    0
143.9    36220    23721    0
144.0    36145    22735    0
144.1    37013    22726    1
144.2    37238    23577    1
144.3    35865    22945    0
144.4    36978    23585    0
144.5    37001    23326    0
144.6    36495    23232    2
144.7    36223    22944    0
144.8    36439    23267    1
144.9    37010    23154    1
145.0    36431    22878    2
145.1    37056    23202    0
145.2    36845    23482    1
145.3    36821    23264    0
145.4    36648    23486    0
145.5    36812    23366    1
145.6    36826    23033    0
145.7    37679    23866    0
145.8    37414    23510    1
145.9    37946    23504    0
146.0    36704    23927    0
146.1    37438    23965    0
146.2    37743    23786    1
146.3    38113    23894    0
146.4    37119    24398    0
146.5    37231    23942    0
