# 1560 SPDC measurement 
# Temperature scan between 140 and 140 °C
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel.
# TEST MEASUREMENT# --------------------------------- 
# Input laser power: 90 mW  at 780 nm (262 mA) 
# Power at input: 2,91 mW  at 780 nm (262 mA) 
# Pump polarization: 'H' (21R) = 2,91 mW)# Periodic polling: 19,25 um
# Initial setup alignment at 100.0 C
# Integration time:  75 s 
# Single photon detector QE: 10% 
# Single photon detector dead time: 5 us 
# Time-delay of [0, 0] ns
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [°C]    [/]    [/]    [/] 
140.0    199122    92191    9
140.1    199372    93719    6
140.2    201141    94966    5
140.3    206233    100378    9
140.4    209997    102356    5
140.5    227250    114644    13
140.6    244641    125224    11
140.7    249194    130368    9
140.8    266454    141033    19
140.9    269479    143380    14
141.0    278369    149453    22
141.1    282989    153996    17
141.2    283706    152987    19
141.3    277914    151141    18
141.4    278712    149581    13
141.5    277505    149014    12
141.6    277565    148264    15
141.7    278950    150574    15
141.8    285889    154753    16
141.9    306020    167372    12
142.0    319029    177931    21
142.1    324161    182289    17
142.2    383743    220473    34
142.3    399143    232601    24
142.4    448420    267121    49
142.5    498375    300747    41
142.6    524092    318528    56
142.7    576443    354080    68
142.8    577101    354934    50
142.9    610875    379130    77
143.0    615783    381528    74
143.1    633132    392203    89
143.2    645187    401187    110
143.3    661463    415415    86
143.4    694409    437838    107
143.5    716113    454464    111
143.6    791334    507288    132
143.7    818291    525656    134
143.8    940656    614624    199
143.9    1061936    701328    280
144.0    1130921    749382    301
144.1    1302507    873853    354
144.2    1346594    912016    391
144.3    1527762    1050177    530
144.4    1710442    1186063    644
144.5    1784703    1247458    797
144.6    1967891    1386252    876
144.7    2034391    1442108    975
144.8    2240426    1607989    1213
144.9    2442002    1772073    1491
145.0    2542821    1857532    1451
145.1    2853157    2118878    2066
145.2    3201763    2415819    2633
145.3    3414919    2602436    2933
145.4    3574968    2750790    3342
145.5    4040603    3176536    4320
145.6    4521855    3638723    5442
145.7    4767134    3879625    6152
145.8    5295088    4403336    7670
145.9    5535342    4645886    8652
146.0    5790118    4904939    9640
146.1    5900751    5021407    9841
146.2    6329371    5475468    11611
146.3    6414768    5568281    11908
146.4    6634472    5816503    12762
146.5    6681856    5865098    13100
146.6    6837081    6036432    13697
146.7    6933406    6141082    14222
146.8    6956340    6166190    14337
146.9    6933703    6142352    14105
147.0    6879168    6077278    13795
147.1    6820212    6009503    13836
147.2    6789411    5972463    13595
147.3    6567258    5724206    12478
147.4    6350481    5485099    11590
147.5    6080650    5192635    10375
147.6    5865328    4958750    9477
147.7    5330146    4411549    7737
147.8    4826044    3910346    6178
147.9    4373323    3472812    5067
148.0    4112335    3228494    4421
148.1    3177428    2378481    2548
148.2    2604996    1889382    1642
148.3    2310029    1654803    1302
148.4    1486275    1007825    566
148.5    1057647    696569    250
148.6    944444    616593    210
148.7    823021    532394    159
148.8    854993    557752    156
148.9    1062708    710675    219
149.0    1325444    901351    410
149.1    1422054    974438    482
149.2    1643363    1143356    624
149.3    1686739    1172620    705
149.4    1786488    1250845    788
149.5    1766826    1235085    769
149.6    1749863    1222221    715
149.7    1604724    1112371    607
149.8    1528527    1052428    505
149.9    1273174    858440    378
150.0    1041569    686176    214
