# 1560 SPDC measurement 
# Temperature scan between 25 and 25 °C
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel.
# --------------------------------- 
# Input laser power: 95 mW  at 780 nm (262 mA) 
# Power at input: 2,91 mW  at 780 nm (262 mA) 
# Pump polarization: 'H' (21R) = 2,91 mW)# Periodic polling: 19,65 um
# Initial setup alignment at 100.0 C
# Integration time:  75 s 
# Single photon detector QE: 10% 
# Single photon detector dead time: 5 us 
# Time-delay of [0, 0] ns
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [°C]    [/]    [/]    [/] 
25.0    126084    70027    4
25.1    126545    70900    0
25.2    130353    72419    7
25.3    132459    74132    1
25.4    134343    76219    3
25.5    138260    79348    2
25.6    141048    79765    1
25.7    142819    81104    3
25.8    144640    82673    5
25.9    144857    83006    1
26.0    145001    82739    3
26.1    144935    82235    2
26.2    142930    80561    3
26.3    139956    79573    4
26.4    135964    77360    7
26.5    133522    74370    3
26.6    130828    72127    3
26.7    126441    70908    4
26.8    124651    68927    4
26.9    123638    68017    2
27.0    121995    67375    4
27.1    122480    67608    2
27.2    123964    69222    1
27.3    126567    70200    5
27.4    129091    72565    6
27.5    133700    75477    5
27.6    137478    77281    2
27.7    142463    81007    4
27.8    146517    82572    3
27.9    148804    84661    1
28.0    152626    86845    3
28.1    154984    88311    7
28.2    156826    88560    4
28.3    158351    89813    3
28.4    155914    89282    5
28.5    154811    89898    7
28.6    154048    88289    4
28.7    151865    85872    5
28.8    146159    83835    6
28.9    143380    80709    5
29.0    136553    76272    5
29.1    131217    72673    2
29.2    127506    70376    5
29.3    126459    69389    5
29.4    125579    68883    3
29.5    124898    69503    3
29.6    127432    70822    5
29.7    131300    73466    1
29.8    135969    75870    2
29.9    141706    79328    3
30.0    146385    82899    1
30.1    151259    85255    4
30.2    155937    87469    4
30.3    159619    89502    4
30.4    163187    92380    3
30.5    165466    94247    3
30.6    164022    93645    6
30.7    163771    94559    2
30.8    161720    92379    5
30.9    158857    89988    4
31.0    154282    87118    4
31.1    152317    85104    6
31.2    148244    82493    6
31.3    144539    81630    2
31.4    142447    79013    5
31.5    141350    77038    4
31.6    141212    78011    7
31.7    144284    80208    4
31.8    146522    81437    4
31.9    151978    86110    8
32.0    159496    90674    6
32.1    168861    96622    5
32.2    179365    103525    6
32.3    189724    110707    8
32.4    199325    116617    7
32.5    208001    122298    11
32.6    214478    125870    4
32.7    218761    128560    9
32.8    219776    128701    7
32.9    222232    130055    8
33.0    220400    128276    6
33.1    216563    125738    6
33.2    208204    122715    10
33.3    202829    118000    9
33.4    194916    113293    10
33.5    186461    108074    4
33.6    178663    103455    6
33.7    174165    99671    7
33.8    170606    97892    9
33.9    168998    98107    14
34.0    171761    98306    7
34.1    177191    100987    5
34.2    185524    107118    5
34.3    197629    115458    4
34.4    210772    123530    10
34.5    227482    133196    9
34.6    239630    141732    9
34.7    254050    151956    16
34.8    270678    161642    14
34.9    284975    170283    18
35.0    293462    177115    19
35.1    296882    178333    19
35.2    301005    180646    17
35.3    300444    182075    13
35.4    296407    180265    14
35.5    294789    177420    23
35.6    289517    173919    15
35.7    280669    170415    17
35.8    277415    165667    16
35.9    272714    163436    16
36.0    274147    163929    12
36.1    277087    167461    21
36.2    288784    172943    13
36.3    300409    182968    18
36.4    318081    191579    29
36.5    335794    204868    20
36.6    374043    227966    32
36.7    406962    251623    21
36.8    442505    273871    41
36.9    478265    299077    54
37.0    513108    320651    48
37.1    547592    344144    51
37.2    573169    359471    72
37.3    589709    372139    84
37.4    607691    383126    83
37.5    623873    397293    90
37.6    640022    402201    88
37.7    648144    409465    82
37.8    655903    416223    87
37.9    660952    419162    96
38.0    668836    425353    80
38.1    681520    434868    98
38.2    700529    449068    97
38.3    706695    454068    114
38.4    743979    478992    143
38.5    795596    512585    142
38.6    856460    553432    165
38.7    920764    601534    164
38.8    994384    652700    203
38.9    1103844    731647    256
39.0    1207376    802248    364
39.1    1313608    880821    396
39.2    1425484    957397    447
39.3    1512759    1021296    508
39.4    1589008    1077883    607
39.5    1668846    1136164    624
39.6    1783044    1221531    716
39.7    1864583    1287638    846
39.8    1942971    1348826    908
39.9    2018797    1403529    1028
40.0    2089130    1456862    1031
40.1    2163142    1514569    1072
40.2    2236119    1578102    1150
40.3    2333338    1652753    1287
40.4    2428615    1729162    1428
40.5    2555179    1829303    1591
40.6    2718659    1963722    1792
40.7    2904368    2125575    2113
40.8    3113830    2303374    2374
40.9    3323707    2487654    2693
41.0    3627199    2743166    3349
41.1    3905182    2998080    3911
41.2    4206004    3268135    4603
41.3    4465952    3513209    5330
41.4    4725333    3756084    5991
41.5    5000334    4016601    6662
41.6    5254297    4274814    7544
41.7    5482824    4504925    8148
41.8    5683472    4710801    8885
41.9    5923800    4961865    9816
42.0    6104947    5154503    10421
42.1    6264883    5329741    11171
42.2    6400486    5467623    11550
42.3    6510799    5585950    12304
42.4    6585714    5660198    12466
42.5    6629905    5702616    12361
42.6    6680642    5762132    12731
42.7    6700707    5784633    13028
42.8    6702109    5785358    12747
42.9    6673708    5754411    12809
43.0    6621400    5698203    12476
43.1    6547657    5617050    12199
43.2    6455301    5516895    11884
43.3    6314985    5364302    11236
43.4    6153449    5195310    10547
43.5    5961388    4987203    9907
43.6    5734454    4751626    9020
43.7    5466501    4466498    8120
43.8    5169040    4172767    7189
43.9    4870902    3878967    6154
44.0    4506599    3528996    5225
44.1    4102671    3152164    4353
44.2    3694857    2785580    3386
44.3    3242515    2388344    2560
44.4    2796230    2016093    1947
44.5    2352241    1655366    1280
44.6    1939354    1337751    840
44.7    1582619    1069217    597
44.8    1137665    743979    279
44.9    865477    559227    163
45.0    673541    429939    95
45.1    569723    360345    64
45.2    534932    338039    61
45.3    552316    350247    58
45.4    602222    385959    87
45.5    693629    446165    93
45.6    782005    506139    129
45.7    859010    556863    160
45.8    920314    595802    205
45.9    962054    628277    198
46.0    982180    642317    190
46.1    988493    645116    207
46.2    966801    630510    208
46.3    921791    599503    192
46.4    857709    556274    156
46.5    786403    506543    137
46.6    705133    452506    123
46.7    625507    394841    79
46.8    515119    322691    51
46.9    436861    270932    54
47.0    367533    226437    26
47.1    313380    192221    14
47.2    272734    167187    20
47.3    250829    154535    11
47.4    247255    151941    15
47.5    254887    157677    14
47.6    275299    170632    14
47.7    306428    190550    20
47.8    341313    213736    23
47.9    374151    234363    24
48.0    401429    251890    27
48.1    421474    265811    41
48.2    434808    273442    46
48.3    441019    277316    30
48.4    430556    273586    40
48.5    365665    228564    32
48.6    400430    251102    26
48.7    375111    236522    30
48.8    340210    212645    27
48.9    319640    200820    26
49.0    279246    176254    17
49.1    254950    158041    12
49.2    222382    135351    6
49.3    198195    121918    4
49.4    181060    110389    4
49.5    176845    106347    6
49.6    171869    104816    3
49.7    174177    106521    5
49.8    178552    109592    12
49.9    191435    118508    5
50.0    207316    128290    10
50.1    220709    135737    12
50.2    233462    145815    18
50.3    242026    151377    3
50.4    247749    155052    13
50.5    252297    155422    17
50.6    255892    158783    16
50.7    250073    155953    11
50.8    242539    150775    16
50.9    228420    141559    10
51.0    209214    128238    8
51.1    190811    118716    9
51.2    175923    108321    12
51.3    161396    99408    4
51.4    151354    91667    9
51.5    139467    84644    6
51.6    130777    79949    5
51.7    129247    77790    2
51.8    128369    77938    2
51.9    129757    79588    4
52.0    135313    82592    8
52.1    142968    86789    3
52.2    150867    93024    2
52.3    163182    98162    6
52.4    170144    102996    7
52.5    175077    105822    7
52.6    175185    107001    2
52.7    177923    108968    10
52.8    176489    108045    7
52.9    172574    104737    8
53.0    166628    102101    7
53.1    160269    97417    2
53.2    151895    92309    6
53.3    144774    87994    5
53.4    138382    82597    5
53.5    128552    78657    4
53.6    125185    75102    1
53.7    123004    73551    3
53.8    122917    73175    4
53.9    123692    74020    6
54.0    124831    74217    4
54.1    133149    79548    4
54.2    134622    80601    3
54.3    146822    88521    3
54.4    154854    93401    3
54.5    161850    97698    6
54.6    166171    101857    5
54.7    170543    104374    1
54.8    173746    105162    9
54.9    173322    104953    5
55.0    170026    104760    2
