# measurement_number,angle,other_angle,1/2,1/3,2/3,1/4,2/4,3/4
1,0,0,145,173,10133,21853,92,136
2,0,0,135,161,9906,21702,95,101
3,0,0,133,187,9942,22158,93,136
4,0,0,131,184,9934,21926,105,134
5,0,0,146,181,9872,21789,113,127
1,0,22.5,140,192,4168,9455,96,125
2,0,22.5,157,201,4172,9600,93,120
3,0,22.5,113,202,4016,9613,89,137
4,0,22.5,144,216,4243,9587,71,134
5,0,22.5,130,202,4106,9679,73,126
1,0,45,140,184,6062,12675,90,118
2,0,45,152,184,5858,12647,70,131
3,0,45,133,206,5879,12685,94,145
4,0,45,128,171,5972,12588,89,151
5,0,45,129,206,5954,12363,81,142
1,22.5,0,116,145,3903,8638,110,127
2,22.5,0,133,128,3949,8556,116,129
3,22.5,0,129,168,3896,8442,105,134
4,22.5,0,143,139,3866,8669,117,144
5,22.5,0,127,148,3797,8796,107,143
1,22.5,22.5,137,179,1022,814,90,131
2,22.5,22.5,169,153,1051,869,96,137
3,22.5,22.5,142,158,1075,818,101,160
4,22.5,22.5,127,148,1164,875,93,121
5,22.5,22.5,118,175,1089,878,88,124
1,22.5,45,123,155,11999,16695,110,124
2,22.5,45,150,182,11887,16502,90,126
3,22.5,45,137,165,11801,16510,87,153
4,22.5,45,145,167,11988,16379,121,146
5,22.5,45,118,180,11990,16393,111,122
1,45,0,135,145,5606,11695,107,125
2,45,0,132,163,5385,11670,110,151
3,45,0,129,172,5353,11768,118,111
4,45,0,148,165,5443,11759,109,137
5,45,0,111,137,5416,11687,120,133
1,45,22.5,136,192,11563,16695,104,147
2,45,22.5,124,181,11814,16782,100,131
3,45,22.5,121,162,11979,16682,109,127
4,45,22.5,139,192,11727,16937,107,128
5,45,22.5,133,166,11634,16660,110,128
1,45,45,132,161,1339,2117,88,120
2,45,45,121,196,1406,2236,87,107
3,45,45,146,172,1395,2119,116,147
4,45,45,153,157,1301,2096,108,136
5,45,45,150,136,1342,2153,99,128
