# G(2) Function
# 2024-02-27 13:24:51
# Histogram Width = 1 µs
# Events Ch. 0 = 1.691e+06 
# Events Ch. 1 = 2.432e+06 
# Integr. Time = 00:01:16 h
# G(2) Norm = 210.8 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
 -1.0000000E-06 ;   9.5329200E-01
 -9.9607843E-07 ;   1.0291760E+00
 -9.9215686E-07 ;   9.6277700E-01
 -9.8823529E-07 ;   9.1535000E-01
 -9.8431373E-07 ;   1.0576320E+00
 -9.8039216E-07 ;   9.5803400E-01
 -9.7647059E-07 ;   1.0054620E+00
 -9.7254902E-07 ;   1.1192880E+00
 -9.6862745E-07 ;   1.1524870E+00
 -9.6470588E-07 ;   1.0528890E+00
 -9.6078431E-07 ;   1.0054620E+00
 -9.5686275E-07 ;   1.0718600E+00
 -9.5294118E-07 ;   9.3432100E-01
 -9.4901961E-07 ;   1.0196900E+00
 -9.4509804E-07 ;   9.1535000E-01
 -9.4117647E-07 ;   1.0291760E+00
 -9.3725490E-07 ;   1.0196900E+00
 -9.3333333E-07 ;   9.4854900E-01
 -9.2941176E-07 ;   9.2009200E-01
 -9.2549020E-07 ;   9.5803400E-01
 -9.2156863E-07 ;   1.1572300E+00
 -9.1764706E-07 ;   1.0102050E+00
 -9.1372549E-07 ;   9.8174800E-01
 -9.0980392E-07 ;   1.0291760E+00
 -9.0588235E-07 ;   9.3432100E-01
 -9.0196078E-07 ;   9.3432100E-01
 -8.9803922E-07 ;   1.0339180E+00
 -8.9411765E-07 ;   1.0623750E+00
 -8.9019608E-07 ;   9.5329200E-01
 -8.8627451E-07 ;   1.0386610E+00
 -8.8235294E-07 ;   9.4380600E-01
 -8.7843137E-07 ;   9.2957800E-01
 -8.7450980E-07 ;   1.0339180E+00
 -8.7058824E-07 ;   9.6277700E-01
 -8.6666667E-07 ;   1.0576320E+00
 -8.6274510E-07 ;   1.0007190E+00
 -8.5882353E-07 ;   1.0054620E+00
 -8.5490196E-07 ;   9.8174800E-01
 -8.5098039E-07 ;   1.0386610E+00
 -8.4705882E-07 ;   9.1060700E-01
 -8.4313725E-07 ;   1.1003170E+00
 -8.3921569E-07 ;   9.6752000E-01
 -8.3529412E-07 ;   1.0196900E+00
 -8.3137255E-07 ;   9.9123400E-01
 -8.2745098E-07 ;   1.1050590E+00
 -8.2352941E-07 ;   1.0813460E+00
 -8.1960784E-07 ;   1.0766030E+00
 -8.1568627E-07 ;   9.6752000E-01
 -8.1176471E-07 ;   9.7700500E-01
 -8.0784314E-07 ;   9.6277700E-01
 -8.0392157E-07 ;   7.8729500E-01
 -8.0000000E-07 ;   1.0339180E+00
 -7.9607843E-07 ;   1.0718600E+00
