# 2023-09-25 1560 SPDC measurment 
# Temperature scan betwen 30 and 50 C 
# This measurement DOES NOT inculde the coincidence stage where we seperate single photons based on polarization per channel 
# A narrowband filter is implemented in C21 (1560.61 nm) bandwidth of 100 GHz# Each single-photon detector is connected to the coincidence stage# TEST MEASUREMENT# --------------------------------- 
# input laser power: 83 mW  at 780 nm (262 mA) 
# pump polarization: 'H' (Ch1, C21R)(uW)  = 82.1 mW)# periodic pooling: 9.12 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 2.618 and 2.904 kHz 
# single photon detector QE: 30% 
# single photon detector dead time: 20 us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
30.0    176238    198669    122
30.1    176918    201707    107
30.2    178702    202743    115
30.3    178577    202135    119
30.4    178356    204664    157
30.5    180589    204819    136
30.6    179463    205399    150
30.7    181181    206329    169
30.8    180514    207677    138
30.9    180383    207109    163
31.0    180699    209191    148
31.1    181436    206591    161
31.2    182016    208340    139
31.3    181559    208532    127
31.4    182028    207810    131
31.5    182783    209739    129
31.6    181698    209377    111
31.7    181017    210903    102
31.8    181947    208917    117
31.9    179584    208522    105
32.0    181437    207616    117
32.1    182112    207787    118
32.2    182194    207709    106
32.3    182114    208925    132
32.4    182006    208359    137
32.5    183605    209185    148
32.6    185041    211113    150
32.7    186255    213617    178
32.8    187234    213872    183
32.9    187837    214987    187
33.0    188652    216160    232
33.1    191007    218251    232
33.2    189671    218279    257
33.3    189552    217644    253
33.4    192851    220195    214
33.5    191899    221082    266
33.6    193862    220420    253
33.7    194147    221992    282
33.8    196113    224370    269
33.9    195960    225532    272
34.0    196888    228297    255
34.1    196427    226756    259
34.2    198105    227877    281
34.3    198156    226990    275
34.4    200720    227462    274
34.5    203393    228676    297
34.6    205038    229792    292
34.7    208806    232823    294
34.8    213144    236804    328
34.9    217211    240847    341
35.0    221224    244571    381
35.1    225324    248426    440
35.2    229805    253922    526
35.3    234422    259645    505
35.4    238270    264327    576
35.5    244183    267112    645
35.6    248707    273264    714
35.7    257220    279649    760
35.8    267287    286665    819
35.9    274203    294643    829
36.0    285580    306325    926
36.1    299970    317849    985
36.2    310290    332000    1031
36.3    322947    343008    1158
36.4    332120    361306    1293
36.5    345021    372860    1472
36.6    354039    386501    1487
36.7    358487    394033    1676
36.8    368926    404906    1797
36.9    377222    415702    1822
37.0    387363    424487    2022
37.1    395319    433523    1902
37.2    405232    445936    1920
37.3    413753    455147    1935
37.4    425475    467492    1937
37.5    435223    480383    1904
37.6    443370    493965    1986
37.7    450758    504137    2017
37.8    456050    514222    2079
37.9    460566    520371    2029
38.0    466235    524962    2047
38.1    480582    527632    2081
38.2    501287    534038    2114
38.3    539464    546087    2074
38.4    589302    570570    2063
38.5    662285    610138    2138
38.6    753461    669626    2546
38.7    858619    754587    3075
38.8    960100    844791    3930
38.9    1050508    938126    4565
39.0    1161216    1057243    5770
39.1    1265654    1179106    6856
39.2    1358756    1292214    7829
39.3    1433540    1389949    8722
39.4    1501005    1480469    9242
39.5    1566941    1573672    10200
39.6    1615879    1643950    10729
39.7    1660763    1712564    11143
39.8    1693052    1768119    11322
39.9    1715057    1810218    11455
