# 28.01.2024 1560 SPDC measurement 
# Temperature scan between 35 and 35 °C 
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel. 
# TEST MEASUREMENT# --------------------------------- 
# Input laser power: 90 mW  at 780 nm (262 mA) 
# Power at input: 90 mW  at 780 nm (262 mA) 
# Pump polarization: 'H' (Ch1, C21R)(uW)  = 90 mW)
# Periodic polling: 9.12 um
# Initial setup alignment at 22.0 C
# Integration time: 60 s 
# Single photon detector darkcounts: 0.3 and 0.27 kHz 
# Single photon detector QE: 10% 
# Single photon detector dead time: 20 us 
# Time-delay of [0, 0] ns# ---------------------------------- 
# [C]    [/]    [/]    [/] 
# Temperature    Clicks_1    Clicks_2    Correlations 
35.0    492    407    0
35.1    415    391    0
35.2    395    390    0
35.3    387    473    1
35.4    474    461    0
35.5    463    471    0
35.6    448    490    0
35.7    501    494    0
35.8    522    542    3
35.9    491    506    2
36.0    559    532    0
36.1    510    548    1
36.2    593    507    0
36.3    590    567    2
36.4    558    629    0
36.5    616    627    1
36.6    632    641    0
36.7    659    565    1
36.8    608    652    1
36.9    725    643    2
37.0    695    700    3
37.1    700    669    1
37.2    790    733    1
37.3    759    682    0
37.4    742    721    2
37.5    734    778    0
37.6    800    741    0
37.7    819    810    0
37.8    823    794    0
37.9    841    848    2
38.0    897    927    1
38.1    912    909    0
38.2    937    913    0
38.3    991    934    1
38.4    1011    1008    0
38.5    935    1017    1
38.6    1049    969    0
38.7    1082    1093    2
38.8    1115    1136    1
38.9    1217    1176    0
39.0    1195    1275    3
39.1    1313    1340    2
39.2    1370    1413    2
39.3    1383    1434    2
39.4    1505    1521    4
39.5    1515    1556    2
39.6    1631    1638    0
39.7    1649    1736    5
39.8    1802    1873    1
39.9    1912    2236    3
40.0    2034    2553    0
40.1    2298    3035    3
40.2    2644    3617    2
40.3    3005    4414    8
40.4    3664    5253    4
40.5    4317    6187    9
40.6    5192    7098    15
40.7    6015    8253    13
40.8    6859    9106    30
40.9    7809    9890    24
41.0    8770    10711    23
41.1    9992    11684    17
41.2    10853    12136    32
41.3    11704    12716    22
41.4    12127    12979    24
41.5    12927    13294    27
41.6    13419    13180    34
41.7    13667    13158    37
41.8    13753    12790    27
41.9    13635    12339    26
42.0    13368    11853    17
42.1    12945    10984    21
42.2    12674    10497    23
42.3    12047    9630    17
42.4    11352    8751    9
42.5    10282    7987    11
42.6    9511    7093    8
42.7    8715    6279    3
