Temperature   Clicks_1   Clicks_2   Correlations# 28.01.2024 1560 SPDC measurement 
# Temperature scan between 35 and 35 °C 
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel. 
# TEST MEASUREMENT# --------------------------------- 
# Input laser power: 90 mW  at 780 nm (262 mA) 
# Power at input: 90 mW  at 780 nm (262 mA) 
# Pump polarization: 'D' (Ch1, C21R)(uW)  = 82.1 mW)# Periodic polling: 9.12 um# Initial setup alignment at 22.0 C# Integration time: 60 s 
# Single photon detector darkcounts: 0.3 and 0.27 kHz 
# Single photon detector QE: 10% 
# Single photon detector dead time: 20 us 
# Time-delay of [0, 0] ns# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
35.0    737    795    1
35.1    706    756    0
35.2    741    958    1
35.3    742    869    0
35.4    734    934    0
35.5    694    844    0
35.6    738    760    1
35.7    749    863    0
35.8    770    880    0
35.9    775    937    2
36.0    753    889    0
36.1    805    882    0
36.2    815    983    0
36.3    850    972    1
36.4    863    1074    2
36.5    912    1027    4
36.6    890    1064    0
36.7    953    1013    0
36.8    935    1123    0
36.9    986    1170    0
37.0    936    1348    0
37.1    1032    1233    1
37.2    987    1401    1
37.3    1131    1287    1
37.4    1152    1474    3
37.5    1234    1472    0
37.6    1206    1606    1
37.7    1238    1609    0
37.8    1288    1643    1
37.9    1395    1542    2
38.0    1417    1752    1
38.1    1538    1689    4
38.2    1498    1859    3
38.3    1663    1936    4
38.4    1696    1991    4
38.5    1797    2064    5
38.6    1826    2207    4
38.7    2024    2355    2
38.8    2023    2377    2
38.9    2211    2634    3
39.0    2434    2779    5
39.1    2641    2874    4
39.2    2916    3105    10
39.3    3417    3428    5
39.4    4078    3677    6
39.5    4358    4256    9
39.6    5503    4794    12
39.7    6558    5340    12
39.8    8146    6610    17
39.9    9579    8093    24
40.0    11246    9310    24
40.1    13193    11463    49
40.2    15005    13727    37
40.3    16685    15409    61
40.4    18836    18060    79
40.5    20304    20905    92
40.6    21877    23210    95
40.7    22994    25223    103
40.8    24196    27524    95
40.9    25185    30133    130
41.0    25543    31490    108
41.1    26022    32589    104
41.2    25654    34086    113
41.3    25323    34697    101
41.4    24589    35259    106
41.5    23504    34873    113
41.6    22649    35034    94
41.7    21944    34483    92
41.8    20292    33235    73
41.9    19066    32270    61
42.0    17404    30723    50
42.1    16228    29027    37
42.2    14844    27397    20
42.3    13515    25397    23
42.4    12574    24061    12
42.5    11651    21986    16
42.6    10373    20513    9
42.7    9654    18934    5
42.8    8881    17310    6
42.9    8293    15810    3
43.0    7487    14956    6
43.1    6568    13194    3
43.2    6190    12587    0
43.3    5653    11316    2
43.4    5165    10202    3
43.5    4812    9403    1
43.6    4224    8645    5
43.7    3956    8057    0
43.8    3589    7088    1
43.9    3380    6900    1
44.0    3175    6326    0
44.1    2894    5763    1
44.2    2634    5539    1
44.3    2442    4543    1
44.4    2235    4416    0
44.5    2009    4103    0
44.6    1832    3413    1
44.7    1825    3250    1
44.8    1535    3339    1
44.9    1498    2872    1
45.0    1348    2775    0
