# 2023-09-27 1560 SPDC measurment 
# Temperature scan betwen 24 and 80 C 
# Swapped the oven to one from IJS 
# This measurement DOES inculde the coincidence stage where we seperate single photons based on polarization per channel 
# A narrowband filter is implemented in C21 (1560.61 nm) bandwidth of 100 GHz# Each single-photon detector is connected to the coincidence stage# TEST MEASUREMENT# --------------------------------- 
# input laser power: 83 mW  at 780 nm (262 mA) 
# pump polarization: 'H' (Ch1, C21R)(uW)  = 82.1 mW)# periodic pooling: 9.12 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 0.3 and 0.27 kHz 
# single photon detector QE: 10% 
# single photon detector dead time: 20 us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
24.0    32691    23546    2
24.1    32882    23229    2
24.2    33416    23166    2
24.3    32658    23054    3
24.4    33028    23204    3
24.5    32897    23189    2
24.6    32990    23269    0
24.7    32853    23189    3
24.8    33123    23326    1
24.9    33309    23601    0
25.0    33159    23598    2
25.1    33425    23512    2
25.2    33217    23581    3
25.3    33208    23578    0
25.4    33228    23607    0
25.5    33378    23813    6
25.6    33496    23500    1
25.7    33645    23638    4
25.8    33030    23792    3
25.9    33398    24000    1
26.0    33414    23902    5
26.1    33358    23784    3
26.2    33595    23584    1
26.3    33623    23900    2
26.4    33018    23578    3
26.5    33525    23446    2
26.6    32874    23816    2
26.7    32874    23613    3
26.8    33472    23746    1
26.9    32991    23790    2
27.0    33287    23874    2
27.1    33170    23781    4
27.2    33191    23655    1
27.3    33520    23979    3
27.4    33706    23907    3
27.5    33538    23788    0
27.6    33217    23958    2
27.7    33148    24131    3
27.8    33398    23819    1
27.9    33422    24079    3
28.0    33508    23924    4
28.1    33255    24191    1
28.2    33649    24317    3
28.3    33737    24141    3
28.4    33372    24294    6
28.5    33365    24303    2
28.6    33671    24791    5
28.7    33835    24599    3
28.8    33735    24516    9
28.9    33817    24807    4
29.0    34128    24921    3
29.1    34021    24952    3
29.2    34033    25010    3
29.3    34277    24924    3
29.4    33970    25003    6
29.5    34170    25083    5
29.6    33815    24785    4
29.7    34144    24960    1
29.8    33801    24656    4
29.9    34051    24812    1
30.0    33697    24782    3
30.1    33463    24437    6
30.2    33477    24732    3
30.3    33801    24829    4
30.4    33630    24658    5
30.5    33627    24720    4
30.6    33170    25005    2
30.7    33877    25189    5
30.8    33827    25397    6
30.9    34167    25355    6
31.0    34495    25706    8
31.1    34392    25993    7
31.2    34550    26170    3
31.3    34528    26167    6
