# 2023-10-10 1560 SPDC measurment 
# Temperature scan betwen 36 and 38.5 °C 
# Swapped the oven to one from IJS 
# This measurement DOES NOT inculde the coincidence stage where we seperate single photons based on polarization per channel. 
# A narrowband filter is implemented in C21 (1560.61 nm) bandwidth of 100 GHz# Each single-photon detector is connected to the coincidence stage# A SPD is connected to one branch of the coincidence stage, while the other SPD is connected directly to the V photon branch on the temp scan
# TEST MEASUREMENT# --------------------------------- 
# input laser power: 83 mW  at 780 nm (262 mA) 
# pump polarization: 'H' (Ch1, C21R)(uW)  = 82.1 mW)# periodic polling: 9.12 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 0.3 and 0.27 kHz 
# single photon detector QE: 10% 
# single photon detector dead time: 20 us 
# Time-delay of 86.2 ns# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
36.0    212286    2409238    1149
36.01    212657    2409508    1164
36.02    216355    2410264    1143
36.03    216864    2409997    1147
36.04    218152    2410108    1172
36.05    220722    2409956    1156
36.06    221665    2410280    1212
36.07    224371    2410083    1176
36.08    226200    2409457    1158
36.09    229791    2409516    1233
36.1    231861    2409674    1240
36.11    232261    2409926    1258
36.12    236430    2409888    1332
36.13    238379    2409817    1277
36.14    242249    2409355    1338
36.15    243994    2409691    1390
36.16    247322    2409024    1403
36.17    248543    2409320    1360
36.18    249557    2409090    1328
36.19    255206    2408369    1349
36.2    256579    2408541    1419
36.21    259694    2408765    1453
36.22    262993    2408171    1440
36.23    267992    2408344    1474
36.24    271668    2409238    1544
36.25    273026    2408825    1537
36.26    278324    2409270    1564
36.27    280591    2409368    1555
36.28    284683    2408723    1551
36.29    287623    2408603    1572
36.3    291200    2407939    1719
36.31    294684    2407914    1685
36.32    295940    2407998    1768
36.33    302108    2407132    1786
36.34    304800    2408009    1829
36.35    313095    2407514    1858
36.36    315081    2407679    1831
36.37    322214    2407528    1907
36.38    324025    2407119    1854
36.39    328050    2406768    1930
36.4    333804    2407056    1975
36.41    335847    2406342    1939
36.42    343422    2407365    2024
36.43    346602    2407295    2022
36.44    353944    2407472    2139
36.45    358280    2407386    2135
36.46    362648    2406978    2204
36.47    370752    2407868    2291
36.48    372036    2407942    2175
36.49    378266    2407279    2276
36.5    380282    2407159    2248
36.51    387297    2407133    2452
36.52    390849    2407009    2356
36.53    393782    2407039    2471
36.54    402502    2406511    2419
36.55    404784    2406963    2491
36.56    415026    2406520    2680
36.57    418281    2407718    2609
36.58    425321    2406572    2624
36.59    428056    2407044    2670
36.6    430177    2407151    2764
36.61    440140    2407857    2792
36.62    444050    2407236    2788
36.63    449898    2407202    2808
36.64    453963    2406910    2839
36.65    463491    2406203    2988
36.66    464691    2405855    3050
36.67    467365    2406091    2986
36.68    477141    2406268    3120
36.69    481050    2406724    3124
36.7    490267    2405890    3151
36.71    494592    2406389    3195
36.72    501940    2406045    3384
36.73    504879    2405916    3338
36.74    506372    2406098    3238
36.75    514647    2405612    3461
36.76    516762    2405321    3393
36.77    524403    2405192    3518
36.78    529199    2406120    3537
36.79    537729    2406501    3503
36.8    540480    2406195    3621
36.81    545703    2406735    3501
36.82    551246    2406812    3734
36.83    554837    2406609    3748
36.84    561922    2406616    3875
36.85    565354    2406674    3764
36.86    570961    2406223    3923
36.87    574842    2406043    3880
36.88    578180    2406169    3967
36.89    585041    2405631    3974
36.9    586507    2405295    3914
36.91    593479    2404030    4052
36.92    595353    2404467    3998
36.93    604164    2405005    4088
36.94    607161    2404810    4223
36.95    609537    2404818    4167
36.96    614596    2405191    4208
36.97    618182    2404476    4082
36.98    624477    2404206    4413
36.99    627261    2404121    4280
37.0    631665    2404537    4376
37.01    634828    2405161    4440
37.02    639228    2404890    4405
37.03    643833    2405317    4531
37.04    646314    2405712    4581
37.05    649599    2405397    4546
37.06    653062    2405770    4591
37.07    656683    2406073    4635
37.08    659541    2406038    4731
37.09    661413    2405839    4755
37.1    666354    2405909    4768
37.11    668072    2405752    4720
37.12    672071    2405393    4830
37.13    673241    2405076    4730
37.14    677433    2405359    4737
37.15    679241    2404768    4839
37.16    680775    2405262    4776
37.17    686524    2404441    4981
37.18    688184    2404956    4869
37.19    692280    2404641    4928
37.2    693950    2404214    4966
37.21    695154    2404813    5001
37.22    696169    2404708    4985
37.23    697168    2404653    4855
37.24    700825    2404250    5042
37.25    701788    2403941    4974
37.26    703204    2404594    5030
37.27    704194    2404283    4988
37.28    706232    2404014    4970
37.29    708563    2404154    4969
37.3    709634    2403808    5158
37.31    711480    2404306    4948
37.32    712020    2404784    4892
37.33    711859    2404594    4978
37.34    712850    2403463    4997
37.35    714610    2403448    5161
37.36    713811    2403631    4982
37.37    713074    2403804    5016
37.38    715375    2404128    5155
37.39    715587    2404048    4991
37.4    714892    2403830    5093
37.41    713604    2403772    5003
37.42    714972    2404036    5118
37.43    714828    2403586    5118
37.44    715793    2403815    5193
37.45    713712    2403567    5156
37.46    715290    2403800    5092
37.47    713546    2403895    5050
37.48    712192    2404138    4966
37.49    711343    2403811    5132
37.5    711627    2404097    5246
37.51    710880    2403986    5001
37.52    709048    2403603    5100
37.53    708525    2403347    5028
37.54    706233    2403720    4935
37.55    706128    2403486    4963
37.56    703358    2403650    4963
37.57    701042    2403840    5040
37.58    701035    2403933    4998
37.59    697674    2403840    4869
37.6    696886    2403275    4872
37.61    695320    2403444    4852
37.62    692541    2403337    4829
37.63    688581    2403203    4808
37.64    687501    2403031    4799
37.65    688810    2403327    4738
37.66    683959    2403396    4762
37.67    681536    2403287    4677
37.68    678731    2403424    4746
37.69    677163    2404196    4642
37.7    673912    2403523    4721
37.71    669860    2403238    4583
37.72    670059    2403398    4629
37.73    664378    2402741    4712
37.74    663258    2403256    4598
37.75    658188    2403168    4515
37.76    654806    2403617    4564
37.77    650127    2403545    4660
37.78    647646    2403072    4427
37.79    646286    2403706    4329
37.8    641327    2403973    4376
37.81    640006    2403002    4393
37.82    634423    2403392    4324
37.83    631996    2403069    4415
37.84    625763    2402998    4219
37.85    622193    2403464    4189
37.86    622641    2403445    4194
37.87    615483    2403885    4220
37.88    609903    2403483    4091
37.89    604327    2403536    3945
37.9    604253    2403309    3913
37.91    596620    2403360    3937
37.92    595370    2403150    3991
37.93    592465    2403366    4136
37.94    585826    2403427    3944
37.95    582929    2403402    3787
