# 1560 SPDC measurement 
# Temperature scan between 35 and 35 °C
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel.
# TEST MEASUREMENT# --------------------------------- 
# Input laser power: 90 mW  at 780 nm (262 mA) 
# Power at input: 65 mW  at 780 nm (262 mA) 
# Pump polarization: 'H' (21R) = 82.1 mW)# Periodic polling: 9.12 um
# Initial setup alignment at 41.0 C
# Integration time:  45 s 
# Single photon detector QE: 10% 
# Single photon detector dead time: 5 us 
# Time-delay of [0, 0] ns
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [°C]    [/]    [/]    [/] 
35.0    12831    20771    1
35.1    13141    21032    0
35.2    12676    19976    0
35.3    12832    19917    0
35.4    13630    21309    1
35.5    13802    22111    0
35.6    13855    21187    0
35.7    14694    22039    0
35.8    14552    23004    0
35.9    14589    23695    0
36.0    15237    23890    0
36.1    15238    24696    1
36.2    15928    24736    0
36.3    16246    26068    0
36.4    16364    26427    0
36.5    16685    26709    0
36.6    17339    27471    0
36.7    17977    29388    0
36.8    18414    30249    1
36.9    19250    31671    1
37.0    19731    32938    0
37.1    20632    35468    1
37.2    21351    37058    1
37.3    22157    40285    1
37.4    24303    43733    1
37.5    26158    48071    2
37.6    28131    52184    1
37.7    31001    56739    2
37.8    35498    63928    4
37.9    40184    70571    1
38.0    45384    78683    5
38.1    52571    87109    5
38.2    59303    96636    8
38.3    66418    105902    10
38.4    74185    113554    14
38.5    81827    123035    8
38.6    89905    130652    9
38.7    95539    137026    11
38.8    102980    143428    13
38.9    108142    147298    11
39.0    111204    151166    13
39.1    114465    153563    18
39.2    116090    152327    7
39.3    114605    150580    12
39.4    112640    147619    11
39.5    109899    143156    16
39.6    106536    138112    9
39.7    100915    130907    2
39.8    94705    123783    9
39.9    88629    116893    10
40.0    82870    108216    10
