# 2024-09-22 1560 SPDC measurment 
# Temperature scan betwen 22 and 80 C 
# This measurement DOES NOT inculde the coincidence stage where we seperate single photons based on polarization per channel 
# A narrowband filter is implemented in C21 (1560.61 nm) and C22 (1559.79 nm), bandwidth of 100 GHz# Each single-photon detector is connected to one channel: C21 and C22# TEST MEASUREMENT# --------------------------------- 
# input laser power: 83 mW  at 780 nm (262 mA) 
# pump polarization: H (uW) (+ V = 20 uW)# periodic pooling: 9.12 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 3.4 kHz 
# single photon detector QE: 30% 
# single photon detector dead time: 20 us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
22.6    231782    357419    26
22.7    231328    358072    28
22.8    232264    357644    41
22.9    230792    357715    28
23.0    231212    358747    28
23.1    230203    357937    29
23.2    230114    357959    44
23.3    229839    359162    23
23.4    230303    361623    33
23.5    228733    362102    33
23.6    230035    361847    24
23.7    229399    364339    32
23.8    229251    364623    29
23.9    232294    364540    32
24.0    230661    363017    22
24.1    231971    362640    26
24.2    233061    365240    31
24.3    232678    364205    43
24.4    232704    363996    28
24.5    234275    365529    33
24.6    234390    366823    34
24.7    236257    366817    34
24.8    236804    367703    30
24.9    238140    369160    27
25.0    238683    367123    41
25.1    237099    364347    25
25.2    239257    366616    30
25.3    239736    366544    26
25.4    241821    369949    32
25.5    241588    368460    30
25.6    241161    367116    29
25.7    242129    368448    19
25.8    242112    366103    41
25.9    241903    368784    31
26.0    243633    369724    45
26.1    243154    371257    28
26.2    245160    369321    33
26.3    243718    372302    30
26.4    245099    372590    30
26.5    246763    371077    30
26.6    248070    370724    30
26.7    247442    371362    40
26.8    248801    374591    29
26.9    249172    375481    25
27.0    250054    376647    36
27.1    250318    379120    34
27.2    248946    379474    37
27.3    251686    380923    35
27.4    252422    382303    38
27.5    252743    383763    36
27.6    253332    383651    35
27.7    254359    382920    35
27.8    254083    383949    25
27.9    254593    386953    46
28.0    255947    388626    30
28.1    254148    396293    31
28.2    255358    396248    28
28.3    253499    402574    24
28.4    255195    404803    36
28.5    256264    407649    30
28.6    255411    410825    38
28.7    257650    411060    25
28.8    259013    416190    22
28.9    259598    418990    34
29.0    259995    418707    33
29.1    263563    422292    33
29.2    263362    422065    39
29.3    264809    422767    36
29.4    265961    422482    41
29.5    268500    428015    30
29.6    272254    428845    40
29.7    273020    427512    38
29.8    277231    426890    52
29.9    280793    424882    47
30.0    284980    424530    46
30.1    292026    424649    48
30.2    293772    424766    47
30.3    298242    424180    44
30.4    303730    424144    53
30.5    305855    425943    49
30.6    309129    432304    40
30.7    312514    434697    49
30.8    314109    440510    53
30.9    316097    446865    51
31.0    318445    452276    52
31.1    320014    452095    52
31.2    321881    455441    50
31.3    323696    462422    65
31.4    323550    464591    50
31.5    323580    471444    63
31.6    323719    477742    52
31.7    319994    484090    48
31.8    316718    489444    46
31.9    314961    497014    57
32.0    318346    505134    53
32.1    318915    511777    58
32.2    321476    512886    58
32.3    322756    516333    56
32.4    328491    519310    72
32.5    334017    521152    64
32.6    338592    524844    54
32.7    344383    526778    60
32.8    351491    536091    58
32.9    354733    545852    67
33.0    361380    557425    58
33.1    364766    567852    79
33.2    369958    581198    75
33.3    374104    596204    71
33.4    380169    608264    76
33.5    384210    619492    89
33.6    392366    632643    84
33.7    396013    644840    106
33.8    401776    660156    107
