# 2023-09-23 1560 SPDC measurment 
# Temperature scan betwen 22 and 80 C 
# This measurement DOES NOT inculde the coincidence stage where we seperate single photons based on polarization per channel 
# A narrowband filter is implemented in C21 (1560.61 nm) and C22 (1559.79 nm), bandwidth of 100 GHz# Each single-photon detector is connected to one channel: C21 and C22# TEST MEASUREMENT# --------------------------------- 
# input laser power: 83 mW  at 780 nm (262 mA) 
# pump polarization: H (uW) (+ V = 20 uW)# periodic pooling: 9.12 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 3.4 kHz 
# single photon detector QE: 30% 
# single photon detector dead time: 20 us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
23.5    232607    365523    25
23.6    232997    366149    28
23.7    233166    367389    30
23.8    234628    369787    24
23.9    236084    368890    24
24.0    236018    368145    29
24.1    235460    365369    28
24.2    235799    366577    29
24.3    236786    368402    36
24.4    238323    368234    26
24.5    237004    371168    30
24.6    239199    370997    31
24.7    239514    371561    31
24.8    241071    369878    21
24.9    240255    369020    24
25.0    242432    369904    30
25.1    243999    368824    33
25.2    245603    370575    36
25.3    245997    367838    24
25.4    245198    369501    34
25.5    245250    368716    34
25.6    243590    368811    26
25.7    245522    371458    29
25.8    246802    372966    23
25.9    246141    373498    34
26.0    246533    372681    34
26.1    248035    375904    27
26.2    249821    373595    31
26.3    250663    374870    24
26.4    252230    374677    30
26.5    253334    376323    28
26.6    253198    378367    29
26.7    254451    378267    42
26.8    253652    379041    44
26.9    255691    379196    31
27.0    256101    381839    25
27.1    255402    386078    20
27.2    257072    387232    34
27.3    256146    387665    42
27.4    256499    387914    26
27.5    256215    387632    34
27.6    256918    387808    39
27.7    259589    392637    32
27.8    259808    394465    37
27.9    259671    398349    31
28.0    259010    400017    31
28.1    258417    404156    36
28.2    258348    408313    31
28.3    259187    411281    41
28.4    258546    416162    34
28.5    261120    419537    37
28.6    262596    422042    31
28.7    262798    423661    47
28.8    263695    424365    54
28.9    266585    428752    43
29.0    267607    427465    54
29.1    268566    429194    44
29.2    269853    429718    45
29.3    271485    433263    45
29.4    273505    434701    42
29.5    274513    436686    31
29.6    277355    433446    45
29.7    282971    435572    40
29.8    286645    433306    45
29.9    290029    431205    46
30.0    295553    431332    56
