# 2023-05-17 1310 SFG measurment
# full measurement of the phasematching condition, now for controler 2 and oven 2 
# temperature scan betwen 30 and 90 C 
# now for a different pooling 
# --------------------------------- 
# input laser power: __ mW at 1310 nm (70 mA) 
# pump polarization: H + V # periodic pooling: 6.57 um (same as the first measurement for the first controler# initial setup alignment at 23.0 C# integration time: 60 s 
# single photon detector darkcounts: 150 Hz 
# single photon detector QE: __% 
# single photon detector dead time: __ us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
30.0    34610    17243    0
30.1    34967    17106    1
30.2    35885    16902    0
30.3    36191    16803    0
30.4    36686    16839    0
30.5    36793    16767    0
30.6    36797    16945    0
30.7    36712    16646    0
30.8    37192    17128    0
30.9    36480    16857    1
31.0    36105    16675    0
31.1    35633    16895    1
31.2    34513    16829    0
31.3    33956    17015    0
31.4    33432    16680    0
31.5    33003    16501    0
31.6    31103    17072    1
31.7    30496    16994    0
31.8    29009    16722    0
31.9    28418    16907    0
32.0    27327    16644    0
32.1    26537    17086    0
32.2    25992    16758    0
32.3    24079    16929    0
32.4    23814    16792    0
32.5    23265    16831    0
32.6    21912    16953    0
32.7    21784    17038    0
32.8    21217    16899    0
32.9    20656    17052    0
33.0    20765    16817    0
33.1    20511    17018    0
33.2    20509    16831    1
33.3    20643    16856    1
33.4    20645    16971    0
33.5    21589    16996    0
33.6    22390    16772    1
33.7    23521    16749    0
33.8    24529    16931    0
33.9    25586    16789    0
34.0    27095    17061    1
34.1    28398    16736    0
34.2    29536    16782    1
34.3    31937    16819    0
34.4    33567    16856    0
34.5    34757    16804    1
34.6    37496    16645    0
34.7    39416    16883    0
34.8    41632    16817    0
34.9    43167    16784    0
35.0    44469    16904    0
35.1    47991    16760    0
35.2    48657    16770    0
35.3    51637    16837    1
35.4    52782    16766    0
35.5    55207    16971    0
35.6    56765    16726    0
35.7    57461    17095    0
35.8    58445    16964    0
35.9    59656    16957    0
36.0    60515    16989    0
36.1    60644    16946    0
36.2    60958    17037    0
36.3    60600    16841    1
36.4    61148    16729    1
36.5    60850    16908    0
36.6    60424    16990    0
36.7    60042    16846    0
36.8    58932    17024    0
36.9    58634    16760    0
37.0    56813    16892    0
37.1    56479    16994    0
37.2    54762    16730    0
37.3    53337    17062    0
37.4    52760    16902    0
37.5    49670    16600    1
37.6    48655    16878    0
37.7    47428    16975    0
37.8    43955    16751    0
37.9    41949    16862    0
38.0    40502    17062    0
38.1    39207    17076    1
38.2    37320    17008    0
38.3    36343    16939    1
38.4    35996    16958    0
38.5    34415    17074    0
38.6    34352    16945    1
38.7    34338    16753    1
38.8    34776    16773    1
38.9    34901    16903    0
39.0    36387    16735    0
39.1    36983    17078    0
39.2    38215    17095    0
39.3    40501    16900    0
39.4    41710    17145    1
39.5    43026    16861    0
39.6    46287    16671    0
39.7    48180    16854    1
39.8    50359    16886    0
39.9    54970    16828    0
40.0    57796    16670    1
40.1    59890    16783    1
40.2    65932    17058    0
40.3    70578    16674    0
40.4    73591    16950    0
40.5    76549    17113    0
40.6    83356    17153    0
40.7    86531    17178    0
40.8    89275    16828    1
40.9    95378    16739    2
41.0    96130    16849    0
41.1    100516    17076    0
41.2    101766    17018    0
41.3    103846    16927    1
41.4    105811    16900    0
41.5    107147    16824    1
41.6    106960    16928    2
41.7    107623    16771    1
41.8    108096    16931    0
41.9    107243    17028    2
42.0    106157    16823    2
42.1    105023    16967    1
42.2    102102    16773    1
42.3    100546    16759    0
42.4    98634    16685    0
42.5    94019    16838    0
42.6    91639    16695    1
42.7    86212    17050    0
42.8    83607    16706    0
42.9    80821    16793    0
43.0    74118    16597    0
43.1    70685    16767    1
43.2    65463    16824    0
43.3    63395    16940    0
43.4    60904    16951    1
43.5    56458    16974    0
43.6    54537    17019    0
43.7    54051    16788    0
43.8    53859    17013    1
43.9    56237    16761    0
44.0    58532    16841    0
44.1    62648    16735    0
44.2    67838    17106    1
44.3    77063    16831    1
44.4    84886    16737    0
44.5    91444    16946    2
44.6    112807    17035    0
44.7    124796    16772    2
44.8    136947    17065    3
44.9    170355    16797    1
45.0    187223    16815    0
45.1    203987    17041    1
45.2    251563    16835    1
45.3    274070    16997    2
45.4    321018    16975    1
45.5    346443    16788    0
45.6    370209    16875    3
45.7    444855    17115    0
45.8    477604    16904    3
45.9    549980    16697    3
46.0    594601    16971    0
46.1    631805    16886    4
46.2    717201    17079    5
46.3    767718    16896    2
46.4    805403    16922    1
46.5    905512    16798    7
46.6    958750    16907    5
46.7    1001642    16857    5
46.8    1116445    17020    6
46.9    1174692    16720    6
47.0    1218811    17056    1
47.1    1336463    16938    8
47.2    1390383    17003    9
47.3    1439569    16716    3
47.4    1561120    16884    12
47.5    1613397    16911    9
47.6    1658965    16962    9
47.7    1778129    17038    7
47.8    1796111    16993    3
47.9    1914438    16912    13
48.0    1954790    16872    11
48.1    1996494    16907    9
48.2    2101931    16615    11
48.3    2135408    16972    17
48.4    2216722    17098    9
48.5    2256395    16971    12
48.6    2290574    16963    15
48.7    2357688    16861    14
48.8    2386677    17006    14
48.9    2411457    17014    17
49.0    2462976    16989    11
49.1    2482004    17018    18
49.2    2494189    16725    17
49.3    2525083    16869    15
49.4    2528822    17090    23
49.5    2532928    16840    19
49.6    2536126    16949    15
49.7    2529136    17069    17
49.8    2525689    17091    15
49.9    2496554    17000    16
50.0    2483788    17011    5
50.1    2465760    17095    16
50.2    2417451    16815    11
50.3    2393370    16826    16
50.4    2367708    16969    11
50.5    2300360    16815    9
50.6    2270836    16730    12
50.7    2240810    17019    12
50.8    2151442    16814    10
50.9    2109597    16918    18
51.0    2026624    16859    11
51.1    1971945    16862    7
51.2    1927831    16880    4
51.3    1831063    17005    6
51.4    1776187    16975    12
51.5    1730176    16738    9
51.6    1620512    16759    15
51.7    1560743    16841    10
51.8    1513645    16720    6
51.9    1396053    16733    8
52.0    1340237    16900    8
52.1    1294833    16934    9
52.2    1181757    16597    7
52.3    1130614    17057    5
52.4    1087728    16732    4
52.5    981033    16864    10
52.6    938266    16909    2
52.7    900915    17085    3
52.8    796617    17251    5
52.9    758209    16628    7
53.0    724730    16990    6
53.1    634062    16880    3
53.2    602087    17114    2
53.3    573956    16798    4
53.4    499533    16859    1
53.5    472419    16876    0
53.6    448907    16869    4
53.7    390713    16771    0
53.8    370843    16768    2
53.9    332643    16898    2
54.0    311030    17068    3
54.1    297596    16899    3
54.2    270078    16792    0
54.3    258111    17177    2
54.4    251338    16963    2
54.5    234823    17004    2
54.6    229848    16881    0
54.7    227554    16896    1
54.8    221102    17084    2
54.9    221030    16937    1
55.0    220208    17057    1
55.1    222612    16867    1
55.2    224447    16778    3
55.3    227272    16857    1
55.4    235954    17132    1
55.5    240011    16885    2
55.6    243467    17004    2
