# 2023-05-29 1550 SPDC measurment
# both crystals are (again) oriented in the same direction
# temperature scan betwen 24 and 90 C 
# this measurement now includes the coincidence stage where we seperate single photons based on polarization per channel 
# this should now provide a nice temperature scan without any q beating interference. just an nice PM peak (at least in coincidences) 
# --------------------------------- 
# input laser power: 30 mW at 1550 nm (245 mA) 
# pump polarization: H# periodic pooling: 9.03 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 3.4 kHz 
# single photon detector QE: 30% 
# single photon detector dead time: 20 us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
24.0    1958098    1780791    14670
24.1    1957944    1782559    15206
24.2    1958633    1786278    15270
24.3    1951431    1779848    14786
24.4    1941341    1774171    14487
24.5    1940413    1773544    14345
24.6    1947027    1783197    14670
24.7    1948234    1784700    15079
24.8    1949146    1789856    15155
24.9    1950785    1790264    15223
25.0    1952137    1795046    15047
25.1    1953081    1794861    15156
25.2    1954336    1795955    15306
25.3    1956358    1799084    15456
25.4    1955248    1799623    15550
25.5    1940314    1784452    14754
25.6    1934188    1781869    14383
25.7    1928680    1776354    14397
25.8    1934278    1783323    14612
25.9    1938073    1791377    14939
26.0    1944328    1796640    14958
26.1    1944382    1798746    14948
26.2    1946746    1803953    15037
26.3    1945663    1802777    15110
26.4    1947640    1807237    15418
26.5    1947535    1808612    15203
26.6    1949189    1809878    15298
26.7    1931626    1797317    14793
26.8    1925596    1792457    14442
26.9    1919764    1788767    14487
27.0    1927010    1796508    14677
27.1    1934065    1804774    15119
27.2    1936865    1808355    15001
27.3    1937727    1811205    15101
27.4    1940026    1812099    15130
27.5    1940403    1813225    15167
27.6    1943556    1816884    15531
27.7    1940109    1813796    15308
27.8    1923402    1798570    14878
27.9    1919956    1796405    14719
28.0    1925589    1802866    14923
28.1    1933651    1811631    15061
28.2    1937909    1815452    14917
28.3    1937266    1818988    15263
28.4    1938442    1818101    15210
28.5    1939115    1823015    15480
28.6    1939694    1823805    15268
28.7    1921827    1808916    14785
28.8    1913171    1802091    14846
28.9    1912382    1803604    14823
29.0    1920751    1812385    15142
29.1    1925313    1817416    14983
29.2    1930200    1821639    15383
29.3    1931506    1825952    15427
29.4    1932348    1826058    15502
29.5    1933821    1828819    15400
29.6    1931243    1827228    15478
29.7    1912434    1807706    14985
29.8    1911640    1808570    15016
29.9    1919641    1818676    15243
30.0    1925596    1823559    15426
30.1    1926025    1826308    15255
30.2    1929062    1829262    15428
30.3    1931665    1832042    15655
30.4    1928872    1828624    15417
30.5    1912599    1814978    15071
30.6    1908946    1813386    14966
30.7    1917662    1822425    15291
30.8    1922646    1829129    15415
30.9    1924333    1832164    15190
31.0    1927386    1834988    15433
31.1    1928986    1837578    15665
31.2    1926635    1836981    15537
31.3    1909674    1821130    15146
31.4    1911425    1824628    15361
31.5    1913978    1826960    15163
31.6    1918397    1831800    15412
31.7    1921922    1835851    15350
31.8    1925654    1839242    15610
31.9    1926402    1840172    15720
32.0    1915027    1829657    15452
32.1    1903042    1819226    14987
32.2    1910858    1827462    15007
32.3    1915599    1832333    15287
32.4    1915698    1835350    15567
32.5    1918472    1837295    15364
32.6    1922074    1842035    15322
32.7    1926097    1846109    15593
32.8    1925374    1845962    15558
32.9    1905708    1827801    15113
33.0    1894503    1820146    14933
33.1    1901242    1828265    15156
33.2    1909609    1836084    15425
33.3    1911612    1838901    15382
33.4    1915337    1843963    15472
33.5    1915964    1845483    15460
33.6    1918317    1847200    15733
33.7    1920723    1851111    15740
33.8    1920912    1851554    15907
33.9    1906263    1839857    15186
34.0    1891490    1824580    15056
34.1    1887528    1823644    14881
34.2    1893572    1830398    15003
34.3    1900575    1837883    15147
34.4    1905411    1844250    15588
34.5    1906834    1845395    15474
34.6    1907935    1846935    15663
34.7    1908472    1850424    15543
34.8    1912928    1853468    15688
34.9    1912496    1855786    15562
35.0    1911866    1855200    15644
35.1    1900393    1845469    15468
35.2    1884596    1829601    14980
35.3    1887649    1836572    14964
35.4    1890749    1840416    15183
35.5    1895128    1847024    15327
35.6    1898404    1849829    15307
35.7    1899787    1852323    15588
35.8    1902955    1856595    15472
35.9    1904674    1858761    15715
36.0    1906783    1861364    15779
36.1    1899096    1855980    15467
36.2    1878379    1835107    15086
36.3    1868093    1828399    14874
36.4    1869724    1830648    14575
36.5    1880597    1841300    15227
36.6    1884166    1847564    15315
36.7    1885665    1848969    15554
36.8    1888324    1852649    15432
36.9    1891241    1857421    15365
37.0    1891243    1858853    15135
37.1    1893366    1862148    15227
37.2    1895460    1866394    15703
37.3    1895322    1866917    15536
37.4    1891641    1865046    15766
37.5    1872323    1846709    15122
37.6    1865607    1843596    14791
37.7    1869336    1847473    15108
37.8    1873138    1852462    15264
37.9    1876027    1860411    15285
38.0    1877357    1863142    15398
38.1    1880024    1866114    15452
38.2    1883034    1869736    15507
38.3    1885142    1873610    15483
38.4    1888519    1876663    15594
38.5    1888962    1878182    15491
38.6    1873233    1865032    15062
38.7    1857946    1852367    14701
38.8    1853765    1848616    14733
38.9    1859864    1857500    14949
39.0    1864209    1861787    15170
39.1    1865115    1863702    14819
39.2    1866654    1867569    15063
39.3    1868806    1871343    15399
39.4    1871358    1873747    15076
39.5    1871548    1875796    15334
39.6    1874371    1877768    15401
39.7    1875516    1882900    15252
39.8    1877792    1881546    15710
39.9    1860435    1877667    14958
40.0    1850477    1868143    14625
40.1    1840743    1862146    14861
40.2    1848934    1871893    14961
40.3    1853041    1876754    15064
40.4    1853739    1879303    15184
40.5    1855523    1883349    15129
40.6    1859624    1885229    15125
40.7    1861121    1888724    15182
40.8    1861935    1890219    15410
40.9    1865097    1895300    15382
41.0    1866367    1895608    15401
41.1    1863481    1895788    15374
41.2    1853380    1887449    15269
41.3    1830134    1867685    14668
41.4    1831928    1869200    14650
41.5    1836123    1873883    14839
41.6    1837879    1879243    14958
41.7    1842366    1884498    14993
41.8    1844526    1888329    14795
41.9    1847707    1893187    15121
42.0    1847371    1894048    14875
42.1    1849177    1895615    14930
42.2    1851225    1900065    15129
42.3    1853189    1900873    14978
42.4    1850752    1901182    15128
42.5    1831159    1881844    14822
42.6    1820679    1876134    14666
42.7    1825803    1882731    14769
42.8    1827029    1884247    14835
42.9    1829817    1886378    15097
43.0    1831975    1890549    14803
43.1    1834496    1893371    14880
43.2    1837038    1896973    15081
43.3    1836705    1898373    14985
43.4    1837167    1898370    14809
43.5    1837217    1899528    15121
43.6    1837014    1902865    14936
43.7    1838655    1905454    14861
43.8    1829822    1897722    14927
43.9    1812574    1883510    14494
44.0    1814551    1886970    14577
44.1    1814651    1889807    14620
44.2    1818206    1893454    14564
44.3    1820349    1896989    14452
44.4    1823708    1899876    14571
44.5    1824418    1902646    14905
44.6    1824832    1903131    14678
44.7    1825934    1904104    14664
44.8    1825952    1907257    14744
44.9    1827189    1906988    14870
45.0    1823162    1903349    14917
45.1    1804800    1886400    14456
45.2    1801670    1885655    14384
45.3    1805867    1891167    14498
45.4    1807561    1894263    14677
45.5    1812092    1897600    14482
45.6    1812771    1900538    14591
45.7    1813572    1901628    14780
45.8    1814673    1904348    14600
45.9    1816343    1907255    14528
46.0    1815142    1907987    14372
46.1    1814426    1909096    14578
46.2    1812921    1909411    14530
46.3    1797562    1893779    14326
46.4    1790906    1890500    14313
46.5    1795574    1896117    14169
46.6    1795855    1896826    14343
46.7    1797035    1900090    14460
46.8    1799519    1901185    14422
46.9    1801711    1903900    14462
47.0    1803157    1906076    14350
47.1    1805438    1906820    14521
47.2    1805331    1909470    14524
47.3    1805675    1910560    14436
47.4    1805482    1909779    14534
47.5    1798718    1905966    14362
47.6    1779595    1888435    13921
47.7    1781670    1891831    14116
47.8    1783166    1895490    14070
47.9    1785894    1898953    14222
48.0    1788414    1901147    14182
48.1    1789855    1903608    14229
48.2    1789434    1905428    14314
48.3    1790295    1906727    13988
48.4    1790849    1909406    14041
48.5    1789710    1909139    14157
48.6    1790403    1910598    14208
48.7    1789519    1911041    14125
48.8    1770756    1894464    13837
48.9    1768657    1892814    14123
49.0    1768432    1893738    13793
49.1    1772622    1897365    13987
49.2    1775799    1901695    14088
49.3    1778713    1903575    13963
49.4    1778972    1905165    13959
49.5    1779370    1906264    14009
49.6    1779907    1906512    14121
49.7    1777319    1907182    13987
49.8    1780528    1907891    14086
